PSTC_ID,PSTC,CITY
332,90512,Gamewela
333,90518,Medawelagama
334,90522,Pelagahatenna
335,90524,Hopton
336,90530,Lunugala
337,90532,Arawakumbura
338,90534,Pallekiruwa
339,90535,Madulsima
340,90540,Metigahatenna
341,90542,Atakiriya
342,90544,Pitamaruwa
343,90546,Kalugahakandura
344,90580,Namunukula
345,90582,Maussagolla
346,90584,Miyanakandura
347,90700,Mahiyanganaya
348,90702,Uraniya
349,90704,Ridimaliyadda
350,90706,Yalwela
351,90712,Arawatta
352,90714,Dambana
353,90716,Wewatta
354,90718,Sorabora Colony
355,90722,Aluttaramma
356,90724,Hebarawa
357,90726,Divulapelessa
358,90728,Kuruwitenna
359,90730,Mapakadawewa
360,90734,Uva Tissapura
361,90736,Aluketiyawa
362,90738,Keselpotha
363,90750,Girandurukotte
364,90752,Galporuyaya
365,90754,Malgoda
366,90756,Pahalarathkinda
367,96167,Idalgashinna
368,100,Fort
369,200,Slave Island
370,200,Slave lsland
371,300,Colpetty
372,400,Bambalapitiya
373,500,Havelock Town
374,600,Wellawatta
375,600,Kirulapone
376,800,Borella
377,1300,Kotahena
378,1500,Mutwal
379,10100,Sri Jayawardenepu
380,10115,Malabe
381,10116,Talawatugoda
382,10118,Hokandara
383,10120,Battaramulla
384,10150,Athurugiriya
385,10200,Homagama
386,10202,Mullegama
387,10204,Habarakada
388,10206,Pitipana Homagama
389,10208,Kiriwattuduwa
390,10230,Pannipitiya
391,10232,Hiripitya
392,10250,Nugegoda
393,10280,Maharagama
394,10290,Boralesgamuwa
395,10300,Piliyandala
396,10302,Deltara
397,10304,Siddamulla
398,10306,Madapatha
399,10320,Polgasowita
400,10350,Dehiwala
401,10370,Mount Lavinia
402,10400,Moratuwa
403,10500,Padukka
404,10502,Horagala
405,10504,Meegoda
406,10508,Kahawala
407,10511,Watareka
408,10513,Batawala
409,10522,Bope
410,10524,Handapangoda
411,10526,Batugampola
412,10600,Kolonnawa
413,10620,Mulleriyawa New Town
414,10640,Kaduwela
415,10650,Hanwella
416,10654,Ranala
417,10656,Dedigamuwa
418,10680,Waga
419,10682,Tummodara
420,10700,Avissawella
421,10704,Napawela
422,10712,Puwakpitiya
423,10714,Hewainna
424,10718,Kalatuwawa
425,10730,Kosgama
426,10732,Akarawita
427,80000,Galle
428,80042,Wakwella
429,80044,Anangoda
430,80046,Walahanduwa
431,80048,Ankokkawala
432,80054,Gonamulla Junction
433,80056,Hiyare
434,80058,Talagampola
435,80062,Kottawagama
436,80064,Nakiyadeniya
437,80070,Udugama
438,80075,Panangala
439,80080,Hiniduma
440,80082,Neluwa
441,80084,Warukandeniya
442,80086,Pannimulla Panagoda
443,80090,Akmeemana
444,80092,Meda-Keembiya
445,80100,Wanduramba
446,80107,Yatalamatta
447,80108,Udalamatta
448,80110,Nagoda
449,80112,Mapalagama
450,80114,Parana ThanaYamgoda
451,80116,Mapalagama Central
452,80120,Wanchawela
453,80122,Angulugaha
454,80130,lmaduwa
455,80132,Hawpe
456,80134,Ihala Walpola
457,80136,Kananke Bazaar
458,80142,Opatha
459,80143,Banagala
460,80144,Malgalla Talangalla
461,80146,Halvitigala Colony
462,80148,Tawalama
463,80150,Yakkalamulla
464,80151,Karagoda
465,80152,Magedara
466,80168,Uluvitike
467,80170,Poddala
468,80200,Baddegama
